"title","watch_num","fly_num","up_name","upload_time","video_duration"
"1个CASE1小时带您入门PowerBI","
        2.3万
      ","
        105
      ","罗简单老师","
        2019-04-22
      ","01:34:34"
"【公开课】PowerBI基础入门","
        492
      ","
        9
      ","Custersugar","
        2020-02-28
      ","01:07:07"
"财务报表分析与PowerBI","
        1613
      ","
        0
      ","踏浪PowerBI","
        2020-01-20
      ","01:22:09"
"数据分析：PowerBI极简入门和行业应用","
        1089
      ","
        0
      ","数据分析社区","
        2020-02-10
      ","01:40:29"
"微软工程师主讲SQL Serve商业智能视频教程PowerBI","
        1409
      ","
        0
      ","Vonyves","
        2019-11-28
      ","25:11:52"
"利用PowerBI做财务分析","
        177
      ","
        0
      ","stephenma","
        2020-03-07
      ","04:45"
"PowerBI分析可转债","
        116
      ","
        0
      ","唔系大虾","
        2020-02-29
      ","06:54"
"一个小白的powerbi 学习记","
        2112
      ","
        1
      ","旺仔大布丁","
        2019-01-18
      ","03:45"
"Powerbi不能发布到web怎么办？","
        481
      ","
        1
      ","BIMBOX","
        2020-03-04
      ","10:52"
"经营分析与PowerBI-应收款分析（1）","
        363
      ","
        0
      ","踏浪PowerBI","
        2020-02-27
      ","38:31"
"PowerBI报表页如何添加书签，以及按钮如何实现书签功能","
        183
      ","
        1
      ","夜希辰","
        2020-02-20
      ","11:56"
"使用遨游百变邮箱注册PowerBI用户(126邮箱替代办法)","
        1957
      ","
        0
      ","网易云课堂小新老师","
        2019-03-19
      ","02:59"
"数据分析课程Excel PowerBI python R语言 SPSS等各大培训机构教程","
        895
      ","
        3
      ","这居然都有人叫","
        2019-08-19
      ","01:10"
"财务分析报告与Power BI","
        5840
      ","
        3
      ","踏浪PowerBI","
        2019-12-31
      ","03:18:05"
"第三届Power BI可视化大赛火热进行中，欢迎来战！","
        85
      ","
        0
      ","跟P酱学BI","
        2020-03-07
      ","01:11:21"
"小新Power BI课堂1小时入门篇-1Power BI简介","
        1.2万
      ","
        1
      ","网易云课堂小新老师","
        2019-03-17
      ","04:09"
"为什么老板爱看报表？ | Power BI极简上手指南 | 超级Excel做超级报表 | 用数据消灭选择恐惧【1/7】","
        1074
      ","
        0
      ","大M数工","
        2020-01-14
      ","05:55"
"用Power BI的财务总监-小新Power BI系列课程模板-1模板使用方法","
        178
      ","
        1
      ","网易云课堂小新老师","
        2020-03-06
      ","11:50"
"会计报表与Power BI-利润表","
        943
      ","
        0
      ","踏浪PowerBI","
        2020-02-25
      ","49:37"
"【中英字幕】Power BI Desktop 2020年2月更新","
        245
      ","
        0
      ","深渊流年","
        2020-02-19
      ","16:54"
"Analyze & Visualize Data with Power BI","
        66
      ","
        0
      ","JaryYuan","
        2020-02-29
      ","06:07:14"
"小新Power BI课堂 3小时进阶篇-从Web获取数据","
        2874
      ","
        5
      ","网易云课堂小新老师","
        2019-03-19
      ","07:20"
"小新Power BI课堂 1小时入门篇-3从Excel获取数据","
        7842
      ","
        13
      ","网易云课堂小新老师","
        2019-03-19
      ","09:09"
"小新Power BI课堂 1小时入门篇-5新建列和度量值","
        5422
      ","
        5
      ","网易云课堂小新老师","
        2019-03-19
      ","13:19"
